Adafruit MS8607 Pressure Humidity Temperature PHT Sensor - STEMMA QT / Qwiic,https://www.adafruit.com/product/4716#technical-details,1, $14.95 
Adafruit RFM69HCW Transceiver Radio Breakout - 868 or 915 MHz - RadioFruit,https://www.adafruit.com/product/3070,2, $9.95 
RS485 Wind Vane Direction Sensor,https://www.dfrobot.com/product-2340.html,1, $45.00 
RS485 Wind Speed Transmitter (0~32.4m/s),https://www.dfrobot.com/product-2339.html,1, $45.00 
RS485 Shield for Arduino,https://www.dfrobot.com/product-1024.html,1, $9.90 
SparkFun 7-Segment Serial Display - Blue,https://www.sparkfun.com/products/11442,4, $14.95 
SparkFun Qwiic Alphanumeric Display - Red,https://www.sparkfun.com/products/16916,1, $9.95 
Arduino UNO R4 WIFI,https://store-usa.arduino.cc/products/uno-r4-wifi?selectedStore=us,1, $27.50 
Arduino Uno Rev3,https://store-usa.arduino.cc/collections/boards-modules/products/arduino-uno-rev3?_pos=4&_fid=10a13d619&_ss=c,,
Solar Panel 1A max rating,https://www.amazon.com/TP-solar-Monocrystalline-Controller-Extension-Terminal/dp/B07RZBVTGR?ref_=ast_sto_dp,1, $29.99 
Battery Lead Acid 9Ah,https://www.amazon.com/gp/product/B00A82A3QG/ref=ppx_od_dt_b_asin_title_s01?ie=UTF8&psc=1,, $23.50 
Project Boards,https://www.amazon.com/gp/product/B0BX8M1RKR/ref=ppx_od_dt_b_asin_title_s01?ie=UTF8&psc=1,1, $17.99 
Project Box,https://www.amazon.com/gp/product/B0B5QGM83Y/ref=ppx_od_dt_b_asin_title_s02?ie=UTF8&psc=1,, $15.59 
Arduino Headers,https://www.amazon.com/gp/product/B08XWCN43C/ref=ppx_od_dt_b_asin_title_s01?ie=UTF8&psc=1,1, $18.90 
Canon Plugs,https://www.amazon.com/gp/product/B07F5B5LLX/ref=ppx_od_dt_b_asin_title_s01?ie=UTF8&psc=1,1, $17.99 
22 AWG wire,Various,,
Waterproof Box,https://www.amazon.com/gp/product/B0BWK5LXTR/ref=ppx_od_dt_b_asin_title_s00?ie=UTF8&psc=1,1, $54.99 
9V Battery Pack,https://www.amazon.com/dp/B0768P78P1?psc=1&ref=ppx_yo2ov_dt_b_product_details,1,
uFL to SMA cable,,2,
915 MHZ antenna ,,2,
DC Power Socket 5.5x2.1,,1, 
DPST Switch,,1,
SPDT Switch,,1,
P2N2222A NPN Transistor,,1,
5mm LED,,2,
uFL SMT Antenna Connector,https://www.adafruit.com/product/1661,2, $0.75 
9v center positive 5.5x2.1 power adapter,,1,
Right angle Breakaway Headers,https://www.adafruit.com/product/1540,1, $5.95 
Straight Breakaway Headers,https://www.adafruit.com/product/3009,1, $4.95 
220 ohm 1/4 watt resistor,various,2,
6.3mm female spade connectors,various,10,
Schottkey Diodes 1N5819 A0G,2,$0.26
MOSFET 78-IRF9610PBF-BE3, 2, $1.07
MOSFET 698-VN2106N3-G,1,$0.50
